id;created_at;user_name;user_screen_name;user_followers_count;text;retweet_count;favorite_count;retweeted_status_retweet_count;retweeted_status_id;retweeted_status_favorite_count;retweeted_status_text;entities_hashtags_0_text;entities_hashtags_1_text;entities_hashtags_2_text;entities_hashtags_3_text;lang;user_location;coordinates_coordinates_0;coordinates_coordinates_1;place_country;place_country_code;place_full_name;place_id;place_name;place_place_type;id_area
880853413134598144;2017-06-30 18:19:53;47b8f854afe51400b4f4832ae93e6be7;600e8b4d06b13ea0fb44d2ea6485267c;275;RT @gp_pulipaka: A review of remote sensing applications for oil palm studies. #BigData #DataScience #Analytics #GIS #Geospatial… ;0;0;15.0;8.80628464050688e+17;7.0;A review of remote sensing applications for oil palm studies. #BigData #DataScience #Analytics #GIS #Geospatial… https://t.co/aK6xTsr5Ox;BigData;DataScience;Analytics;GIS;en;bengaluru, india;;;;;;;;;
881751904572899330;2017-07-03 05:50:10;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3091;"RT @chboursin: 🆕✅ 🔟 #IoT #security targets ! 🎯  #SmartCity #Healthcare #Fintech
 #Mpgvip #AI #cybersecurity #tech #bigdata… ";0;0;21.0;8.817493670440468e+17;13.0;"🆕✅ 🔟 #IoT #security targets ! 🎯  #SmartCity #Healthcare #Fintech
 #Mpgvip #AI #cybersecurity #tech #bigdata… https://t.co/hdZrZk0ogd";IoT;security;SmartCity;Healthcare;en;bengaluru, india;;;;;;;;;
881916565830066176;2017-07-03 16:44:29;72ea40b1a0cc3073ea140b2ca1df84ac;b47b7ed7800a6d05b7b829f471f9c6ee;240;RT @StephanePlancke: @pruthviraj78 2.5M badges have been completed by Trailblazers on trailhead #Trailhead #Salesforce https://t.co/UXmd9ek…;0;0;4.0;8.814980432915087e+17;7.0;@pruthviraj78 2.5M badges have been completed by Trailblazers on trailhead #Trailhead #Salesforce https://t.co/UXmd9ekHVC;Trailhead;Salesforce;;;en;bengaluru, india;;;;;;;;;
880876209885859840;2017-06-30 19:50:28;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3042;"RT @appknox: #Industry40 Framework and #Digital Technologies
@MikeQuindazzi
#bigdata #IoT #CloudComputing #AI #CyberSecurity… ";0;0;13.0;8.808716145393377e+17;3.0;"#Industry40 Framework and #Digital Technologies
@MikeQuindazzi
#bigdata #IoT #CloudComputing #AI #CyberSecurity… https://t.co/Fqm8HhiU3l";Industry40;Digital;bigdata;IoT;en;bengaluru, india;;;;;;;;;
881317925268934656;2017-07-02 01:05:42;dbf396657708d9bd73dec0ac85c0261f;4c08e84f0409e69bce53567f2ddbac3a;64;Predictive Analytics Is the Future of B2B Marketing - TDWI Upside https://t.co/4S1k2AOwHJ https://t.co/tMlgBRiwVm;0;0;;;;;;;;;en;bengaluru, india;;;;;;;;;
881467865752363008;2017-07-02 11:01:30;9c0dd3060c1644838f5c1cd62f479d23;4526719e120af364349f462f991c5dba;1410;Best open source embedded database projects. https://t.co/q1aTaxpqT2 #opensource #embeddeddatabase;0;0;;;;;opensource;embeddeddatabase;;;en;bengaluru, india;;;;;;;;;
880968635359019008;2017-07-01 01:57:44;1494d0c9e81c1395d54828bb72807154;8283f18ba9bbb326e42feb83923088ff;149;RT @DouglasCAyers: Is it ever practical to have code do different stuff in each contact? Doubtful. But very nice catalogue by… ;0;0;1.0;8.809343183103959e+17;1.0;Is it ever practical to have code do different stuff in each contact? Doubtful. But very nice catalogue by… https://t.co/DxfLt7Giee;;;;;en;bengaluru, india;;;;;;;;;
880990437967749120;2017-07-01 03:24:23;a3903dd9872f3d2c19f678ca46725e9c;8ec639e585c6fdddbe0c2b16b22c4baf;438;"RT @JacBurns_Comext: What #blockchain adoption could look like
#FinTech #Bitcoins #BigData #disruption #IoT #AI #digital #crypto… ";0;0;52.0;8.803758206567916e+17;58.0;"What #blockchain adoption could look like
#FinTech #Bitcoins #BigData #disruption #IoT #AI #digital #crypto… https://t.co/R8lzT4uZuC";blockchain;FinTech;Bitcoins;BigData;en;bengaluru, india;;;;;;;;;
881522431122452480;2017-07-02 14:38:20;8b8a17b6f69a3308f4b17d5fe5208ab3;9f3b1d19b13a8e4dc0dc5e41685f7ef1;2116;RT @abhiseoexpert: The reality. The future is #DigitalMarketing #socialmediamarketing #startups #Mpgvip #defstar5 #SEO #socialmedia… ;0;0;22.0;8.81516664092713e+17;24.0;The reality. The future is #DigitalMarketing #socialmediamarketing #startups #Mpgvip #defstar5 #SEO #socialmedia… https://t.co/F6PoETEmIb;DigitalMarketing;socialmediamarketing;startups;Mpgvip;en;bengaluru, india;;;;;;;;;
881329185360400384;2017-07-02 01:50:26;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3066;RT @messageboardusa: PLEASE have a SAFE and SANE #july4thweekend #SAFEandSANE  #ai #BigData #iot #SMM #TECH #defstar5 #SmartCity… ;0;0;14.0;8.813230981542953e+17;18.0;PLEASE have a SAFE and SANE #july4thweekend #SAFEandSANE  #ai #BigData #iot #SMM #TECH #defstar5 #SmartCity… https://t.co/8tD0HZ7gBY;july4thweekend;SAFEandSANE;ai;BigData;en;bengaluru, india;;;;;;;;;
